"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"clisymbols","clisymbols","C:/Users/k_min/Documents/R/win-library/3.6","1.2.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"colorspace","colorspace","C:/Users/k_min/Documents/R/win-library/3.6","1.4-1",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"commonmark","commonmark","C:/Users/k_min/Documents/R/win-library/3.6","1.7",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"crayon","crayon","C:/Users/k_min/Documents/R/win-library/3.6","1.3.4",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"crosstalk","crosstalk","C:/Users/k_min/Documents/R/win-library/3.6","1.0.0",NA,NA,"htmltools (>= 0.3.5), jsonlite, lazyeval, R6, shiny (>= 0.11),
ggplot2",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"curl","curl","C:/Users/k_min/Documents/R/win-library/3.6","3.3",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"data.table","data.table","C:/Users/k_min/Documents/R/win-library/3.6","1.12.2",NA,"R (>= 3.1.0)","methods",NA,"bit64, curl, R.utils, knitr, xts, nanotime, zoo",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"DBI","DBI","C:/Users/k_min/Documents/R/win-library/3.6","1.0.0",NA,"R (>= 3.0.0), methods",NA,NA,"blob, covr, hms, knitr, magrittr, rprojroot, rmarkdown,
RSQLite (>= 1.1-2), testthat, xml2",NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"dbplyr","dbplyr","C:/Users/k_min/Documents/R/win-library/3.6","1.4.0",NA,"R (>= 3.1)","assertthat (>= 0.2.0), DBI (>= 1.0.0), dplyr (>= 0.8.0), glue
(>= 1.2.0), methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils",NA,"bit64, covr, knitr, Lahman, nycflights13, RMariaDB (>=
1.0.2), rmarkdown, RMySQL (>= 0.10.11), RPostgreSQL (>= 0.4.1),
RSQLite (>= 2.1.0), testthat (>= 2.0.0), withr (>= 2.1.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"desc","desc","C:/Users/k_min/Documents/R/win-library/3.6","1.2.0",NA,"R (>= 3.1.0)","assertthat, utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"devtools","devtools","C:/Users/k_min/Documents/R/win-library/3.6","2.0.2",NA,"R (>= 3.0.2)","callr, cli, digest, git2r (>= 0.23.0), httr (>= 0.4),
jsonlite, memoise (>= 1.0.0), pkgbuild (>= 1.0.2), pkgload (>=
1.0.1), rcmdcheck (>= 1.3.2), remotes (>= 2.0.2), rstudioapi
(>= 0.6.0.9000), sessioninfo, stats, tools, usethis (>= 1.4.0),
utils, withr",NA,"BiocManager, bitops, covr (>= 3.2.0), crayon, curl (>= 0.9),
evaluate, foghorn (>= 1.1.0), gmailr (> 0.7.0), knitr, lintr
(>= 0.2.1), mockery, pingr, MASS, pkgdown, Rcpp (>= 0.10.0),
rhub (>= 1.0.2), rmarkdown, roxygen2 (>= 6.1.0), rversions,
spelling (>= 1.1), testthat (>= 1.0.2), whisker",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"digest","digest","C:/Users/k_min/Documents/R/win-library/3.6","0.6.18",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"dplyr","dplyr","C:/Users/k_min/Documents/R/win-library/3.6","0.8.0.1",NA,"R (>= 3.1.2)","assertthat (>= 0.2.0), glue (>= 1.1.1), magrittr (>= 1.5),
methods, pkgconfig (>= 2.0.1), R6 (>= 2.2.2), Rcpp (>= 1.0.0),
rlang (>= 0.3.0), tibble (>= 2.0.0), tidyselect (>= 0.2.5),
utils","BH (>= 1.58.0-1), plogr (>= 0.1.10), Rcpp (>= 1.0.0)","bit64 (>= 0.9.7), callr (>= 3.1.1), covr (>= 3.0.1), DBI (>=
0.7.14), dbplyr (>= 1.2.0), dtplyr (>= 0.0.2), ggplot2 (>=
2.2.1), hms (>= 0.4.1), knitr (>= 1.19), Lahman (>= 3.0-1),
lubridate (>= 1.7.4), MASS, mgcv (>= 1.8.23), microbenchmark
(>= 1.4.4), nycflights13 (>= 0.2.2), rmarkdown (>= 1.8), RMySQL
(>= 0.10.13), RPostgreSQL (>= 0.6.2), RSQLite (>= 2.0),
testthat (>= 2.0.0), withr (>= 2.1.1), broom (>= 0.5.1), purrr
(>= 0.3.0), readr (>= 1.3.1), crayon (>= 1.3.4)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"e1071","e1071","C:/Users/k_min/Documents/R/win-library/3.6","1.7-1",NA,NA,"graphics, grDevices, class, stats, methods, utils",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"ellipsis","ellipsis","C:/Users/k_min/Documents/R/win-library/3.6","0.1.0",NA,"R (>= 3.1)",NA,NA,"covr, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"evaluate","evaluate","C:/Users/k_min/Documents/R/win-library/3.6","0.13",NA,"R (>= 3.0.2)","methods",NA,"testthat, lattice, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"extrafont","extrafont","C:/Users/k_min/Documents/R/win-library/3.6","0.17",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"extrafontdb","extrafontdb","C:/Users/k_min/Documents/R/win-library/3.6","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.6.0"
"fansi","fansi","C:/Users/k_min/Documents/R/win-library/3.6","0.4.0",NA,"R (>= 3.1.0)",NA,NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"faraway","faraway","C:/Users/k_min/Documents/R/win-library/3.6","1.0.7",NA,"R (>= 2.10)","lme4,nlme,methods",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"forcats","forcats","C:/Users/k_min/Documents/R/win-library/3.6","0.4.0",NA,"R (>= 3.1)","ellipsis, magrittr, rlang, tibble",NA,"covr, ggplot2, testthat, readr, knitr, rmarkdown, dplyr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"fs","fs","C:/Users/k_min/Documents/R/win-library/3.6","1.2.7",NA,"R (>= 3.1)","methods, Rcpp","Rcpp","testthat, covr, pillar (>= 1.0.0), crayon, rmarkdown, knitr,
withr,",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"generics","generics","C:/Users/k_min/Documents/R/win-library/3.6","0.0.2",NA,"R (>= 3.1)","methods",NA,"covr, pkgload, testthat, tibble",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"geosphere","geosphere","C:/Users/k_min/Documents/R/win-library/3.6","1.5-10",NA,"R (>= 3.0.0)","sp",NA,"methods, raster",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.0"
"ggmap","ggmap","C:/Users/k_min/Documents/R/win-library/3.6","3.0.0",NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr",NA,"MASS, hexbin, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"ggplot2","ggplot2","C:/Users/k_min/Documents/R/win-library/3.6","3.1.1",NA,"R (>= 3.1)","digest, grid, gtable (>= 0.1.1), lazyeval, MASS, mgcv, plyr
(>= 1.7.1), reshape2, rlang (>= 0.2.1), scales (>= 0.5.0),
stats, tibble, viridisLite, withr (>= 2.0.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, lattice, mapproj,
maps, maptools, multcomp, munsell, nlme, testthat (>= 0.11.0),
vdiffr, quantreg, knitr, rgeos, rpart, rmarkdown, sf (>=
0.3-4), svglite (>= 1.2.0.9001)","sp","GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"gh","gh","C:/Users/k_min/Documents/R/win-library/3.6","1.0.1",NA,NA,"ini, jsonlite, httr",NA,"covr, pingr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"git2r","git2r","C:/Users/k_min/Documents/R/win-library/3.6","0.25.2",NA,"R (>= 3.1)","graphics, utils",NA,"getPass",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"glue","glue","C:/Users/k_min/Documents/R/win-library/3.6","1.3.1",NA,"R (>= 3.1)","methods",NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"gridExtra","gridExtra","C:/Users/k_min/Documents/R/win-library/3.6","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"gtable","gtable","C:/Users/k_min/Documents/R/win-library/3.6","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"haven","haven","C:/Users/k_min/Documents/R/win-library/3.6","2.1.0",NA,"R (>= 3.1)","forcats (>= 0.2.0), hms, Rcpp (>= 0.11.4), readr (>= 0.1.0),
tibble","Rcpp","covr, fs, knitr, rmarkdown, testthat, pillar (>= 1.1.1), cli,
crayon",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"hexbin","hexbin","C:/Users/k_min/Documents/R/win-library/3.6","1.27.3",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"highr","highr","C:/Users/k_min/Documents/R/win-library/3.6","0.8",NA,"R (>= 3.2.3)",NA,NA,"knitr, testit",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"hms","hms","C:/Users/k_min/Documents/R/win-library/3.6","0.4.2",NA,NA,"methods, pkgconfig, rlang",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"htmltools","htmltools","C:/Users/k_min/Documents/R/win-library/3.6","0.3.6",NA,"R (>= 2.14.1)","utils, digest, Rcpp","Rcpp","markdown, testthat","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"htmlwidgets","htmlwidgets","C:/Users/k_min/Documents/R/win-library/3.6","1.3",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8)","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"httpuv","httpuv","C:/Users/k_min/Documents/R/win-library/3.6","1.5.1",NA,"R (>= 2.15.1)","Rcpp (>= 0.11.0), utils, R6, promises, later (>= 0.8.0)","Rcpp, BH, later","testthat, callr, curl",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"httr","httr","C:/Users/k_min/Documents/R/win-library/3.6","1.4.0",NA,"R (>= 3.1)","curl (>= 0.9.1), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"hunspell","hunspell","C:/Users/k_min/Documents/R/win-library/3.6","3.0",NA,"R (>= 3.0.2)","Rcpp, digest","Rcpp (>= 0.12.12)","spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",NA,"GPL-2 | LGPL-2.1 | MPL-1.1",NA,NA,NA,NA,"yes","3.6.0"
"ini","ini","C:/Users/k_min/Documents/R/win-library/3.6","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"ISLR","ISLR","C:/Users/k_min/Documents/R/win-library/3.6","1.2",NA,"R (>= 2.10)",NA,NA,"MASS",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"ISOcodes","ISOcodes","C:/Users/k_min/Documents/R/win-library/3.6","2019.04.22",NA,"R (>= 2.10.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"janeaustenr","janeaustenr","C:/Users/k_min/Documents/R/win-library/3.6","0.1.5",NA,"R (>= 3.1.2)",NA,NA,"dplyr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"jpeg","jpeg","C:/Users/k_min/Documents/R/win-library/3.6","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"jsonlite","jsonlite","C:/Users/k_min/Documents/R/win-library/3.6","1.6",NA,"methods",NA,NA,"httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"kableExtra","kableExtra","C:/Users/k_min/Documents/R/win-library/3.6","1.1.0",NA,"R (>= 3.1.0)","knitr (>= 1.16), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rvest, rmarkdown (>= 1.6.0), readr, scales, viridisLite, stats,
grDevices, htmltools, rstudioapi, glue, tools, webshot, digest",NA,"testthat, magick, formattable, dplyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.2"
"kmfars2","kmfars2","C:/Users/k_min/Documents/R/win-library/3.6","0.0.0.9000",NA,"R (>= 2.10)","maps, dplyr, readr, tidyr, magrittr",NA,"knitr, rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"knitr","knitr","C:/Users/k_min/Documents/R/win-library/3.6","1.22",NA,"R (>= 3.1.0)","evaluate (>= 0.10), highr, markdown, stringr (>= 0.6), yaml
(>= 2.1.19), methods, xfun, tools",NA,"formatR, testit, digest, rgl (>= 0.95.1201), codetools,
rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice (>= 0.10),
tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1), magick,
png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>= 0.4-1),
showtext, tibble, styler",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"labeling","labeling","C:/Users/k_min/Documents/R/win-library/3.6","0.3",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","3.6.0"
"later","later","C:/Users/k_min/Documents/R/win-library/3.6","0.8.0",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp, BH","knitr, rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"lazyeval","lazyeval","C:/Users/k_min/Documents/R/win-library/3.6","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"leaflet","leaflet","C:/Users/k_min/Documents/R/win-library/3.6","2.0.2",NA,"R (>= 3.1.0)","base64enc, crosstalk, htmlwidgets, htmltools, magrittr,
markdown, methods, png, RColorBrewer, raster, scales (>=
1.0.0), sp, stats, viridis (>= 0.5.1)",NA,"knitr, maps, sf, shiny, testit (>= 0.4), rgdal, rgeos, R6,
RJSONIO, purrr, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"lme4","lme4","C:/Users/k_min/Documents/R/win-library/3.6","1.1-21",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR2,
numDeriv, car, dfoptim",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"lubridate","lubridate","C:/Users/k_min/Documents/R/win-library/3.6","1.7.4",NA,"methods, R (>= 3.0.0)","stringr, Rcpp (>= 0.12.13),","Rcpp,","testthat, knitr, covr","chron, fts, timeSeries, timeDate, tis, tseries, xts, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"magrittr","magrittr","C:/Users/k_min/Documents/R/win-library/3.6","1.5",NA,NA,NA,NA,"testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"manipulate","manipulate","C:/Users/k_min/Documents/R/win-library/3.6","1.0.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"mapproj","mapproj","C:/Users/k_min/Documents/R/win-library/3.6","1.2.6",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","3.6.0"
"maps","maps","C:/Users/k_min/Documents/R/win-library/3.6","3.3.0",NA,"R (>= 3.0.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"maptools","maptools","C:/Users/k_min/Documents/R/win-library/3.6","0.9-5",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat (>= 1.50), PBSmapping, maps,
RColorBrewer, raster, polyclip, spatstat.utils","gpclib, RArcInfo","GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"markdown","markdown","C:/Users/k_min/Documents/R/win-library/3.6","0.9",NA,"R (>= 2.11.1)","utils, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"memoise","memoise","C:/Users/k_min/Documents/R/win-library/3.6","1.1.0",NA,NA,"digest (>= 0.6.3)",NA,"testthat, aws.s3, httr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"mime","mime","C:/Users/k_min/Documents/R/win-library/3.6","0.6",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","3.6.0"
"minqa","minqa","C:/Users/k_min/Documents/R/win-library/3.6","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"modelr","modelr","C:/Users/k_min/Documents/R/win-library/3.6","0.1.4",NA,"R (>= 3.1)","broom, dplyr, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0),
tibble, tidyr (>= 0.8.0)",NA,"compiler, covr, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"munsell","munsell","C:/Users/k_min/Documents/R/win-library/3.6","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"nloptr","nloptr","C:/Users/k_min/Documents/R/win-library/3.6","1.2.1",NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,"LGPL-3",NA,NA,NA,NA,"yes","3.6.0"
"openssl","openssl","C:/Users/k_min/Documents/R/win-library/3.6","1.3",NA,NA,"askpass",NA,"testthat, digest, knitr, rmarkdown, jsonlite, jose",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"pillar","pillar","C:/Users/k_min/Documents/R/win-library/3.6","1.3.1",NA,NA,"cli (>= 1.0.0), crayon (>= 1.3.4), fansi (>= 0.4.0), methods,
rlang (>= 0.3.0.1), utf8 (>= 1.1.3)",NA,"knitr (>= 1.19), lubridate (>= 1.7.4), testthat (>= 2.0.0),
withr (>= 2.1.2)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"pkgbuild","pkgbuild","C:/Users/k_min/Documents/R/win-library/3.6","1.0.3",NA,"R (>= 3.1)","callr (>= 2.0.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"pkgconfig","pkgconfig","C:/Users/k_min/Documents/R/win-library/3.6","2.0.2",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"pkgload","pkgload","C:/Users/k_min/Documents/R/win-library/3.6","1.0.2",NA,NA,"desc, methods, pkgbuild, rlang, rprojroot, rstudioapi, utils,
withr",NA,"bitops, covr, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"plogr","plogr","C:/Users/k_min/Documents/R/win-library/3.6","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"plotly","plotly","C:/Users/k_min/Documents/R/win-library/3.6","4.9.0",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr, jsonlite (>= 1.6), magrittr, digest,
viridisLite, base64enc, htmltools (>= 0.3.6), htmlwidgets (>=
1.3), tidyr, hexbin, RColorBrewer, dplyr, tibble, lazyeval (>=
0.2.0), rlang, crosstalk, purrr, data.table, promises",NA,"MASS, maps, ggthemes, GGally, testthat, knitr, devtools,
shiny (>= 1.1.0), shinytest (>= 1.3.0), curl, rmarkdown,
vdiffr, Cairo, broom, webshot, listviewer, dendextend, sf,
maptools, rgeos, png, IRdisplay, processx, plotlyGeoAssets,
forcats",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"plyr","plyr","C:/Users/k_min/Documents/R/win-library/3.6","1.8.4",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, testthat, tcltk, foreach, doParallel, itertools,
iterators, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"png","png","C:/Users/k_min/Documents/R/win-library/3.6","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"praise","praise","C:/Users/k_min/Documents/R/win-library/3.6","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
